City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
79,Erzin,TR,2020-02-23 06:44:18,36.96,36.2,54.0,100,75,2.24,broken clouds,0,0
80,Mount Isa,AU,2020-02-23 06:34:34,-20.73,139.5,89.6,52,75,10.29,broken clouds,0,0
81,Nishihara,JP,2020-02-23 06:44:02,26.18,127.76,69.8,56,20,11.41,few clouds,0,0
82,Provideniya,RU,2020-02-23 06:38:02,64.38,-173.3,-10.86,90,0,2.15,clear sky,0,0
83,Shatsk,RU,2020-02-23 06:43:19,54.03,41.71,30.76,90,100,18.88,overcast clouds,0,0
84,Homer,US,2020-02-23 06:45:49,59.64,-151.55,19.4,79,90,3.36,light snow,0,0
85,Aras,ES,2020-02-23 06:42:43,42.56,-2.36,35.01,56,47,1.12,scattered clouds,0,0
86,Yar-Sale,RU,2020-02-23 06:37:31,66.83,70.83,23.16,92,83,13.85,broken clouds,0,0
87,Geraldton,AU,2020-02-23 06:40:11,-28.77,114.6,87.8,52,0,18.34,clear sky,0,0
88,Severo-Kurilsk,RU,2020-02-23 06:41:40,50.68,156.12,19.09,89,100,21.41,light snow,0,0.19
89,Aykhal,RU,2020-02-23 06:43:10,66.0,111.5,3.2,84,23,4.47,few clouds,0,0
90,Guerrero Negro,MX,2020-02-23 06:47:11,27.98,-114.06,58.08,75,91,13.49,overcast clouds,0,0
91,Acapulco,MX,2020-02-23 06:43:01,16.86,-99.89,78.8,78,5,3.36,clear sky,0,0
92,Butaritari,KI,2020-02-23 06:37:28,3.07,172.79,84.72,76,22,9.73,light rain,0.88,0
93,Zhanaozen,KZ,2020-02-23 06:41:05,43.3,52.8,43.57,76,100,11.68,overcast clouds,0,0
94,Dongsheng,CN,2020-02-23 06:47:12,39.82,109.98,47.44,21,0,5.73,clear sky,0,0
95,Carnarvon,AU,2020-02-23 06:42:20,-24.87,113.63,86.0,55,0,16.11,clear sky,0,0
96,Guozhen,CN,2020-02-23 06:47:12,34.37,107.36,59.38,32,32,7.0,scattered clouds,0,0
97,Olafsvik,IS,2020-02-23 06:34:28,64.89,-23.71,31.26,64,93,20.83,light snow,0,0.56
98,Port Elizabeth,ZA,2020-02-23 06:37:16,-33.92,25.57,66.2,68,40,5.82,scattered clouds,0,0
99,Bay Roberts,CA,2020-02-23 06:47:13,47.6,-53.26,28.99,86,75,17.22,light shower snow,0,0
100,Ancud,CL,2020-02-23 06:44:55,-41.87,-73.82,55.09,84,0,1.45,clear sky,0,0
101,Kapustin Yar,RU,2020-02-23 06:47:13,48.58,45.74,34.2,80,100,9.84,overcast clouds,0,0
102,Mahebourg,MU,2020-02-23 06:47:13,-20.41,57.7,82.99,78,75,9.17,broken clouds,0,0
103,Edeia,BR,2020-02-23 06:47:13,-17.34,-49.93,69.89,95,76,2.28,light rain,0.5,0
104,Qaanaaq,GL,2020-02-23 06:44:38,77.48,-69.36,-13.32,90,99,2.62,overcast clouds,0,0
105,Kapoeta,SS,2020-02-23 06:47:14,4.77,33.59,91.9,30,58,15.9,broken clouds,0,0
106,Gigmoto,PH,2020-02-23 06:47:14,13.78,124.39,80.19,78,8,17.67,light rain,1,0
107,Hofn,IS,2020-02-23 06:41:16,64.25,-15.21,33.8,94,100,9.24,snow,0,2.13
108,Kloulklubed,PW,2020-02-23 06:43:14,7.04,134.26,84.2,79,75,12.75,broken clouds,0,0
109,Cidreira,BR,2020-02-23 06:35:00,-30.18,-50.21,66.49,76,45,8.28,light rain,0.25,0
110,Cape Town,ZA,2020-02-23 06:44:33,-33.93,18.42,71.01,52,0,4.7,clear sky,0,0
111,Wanning,CN,2020-02-23 06:44:05,18.8,110.4,74.34,71,34,9.64,light rain,0.31,0
112,Hambantota,LK,2020-02-23 06:37:39,6.12,81.12,86.0,79,40,19.46,scattered clouds,0,0
113,Constitucion,CL,2020-02-23 06:34:41,-35.33,-72.42,50.65,90,8,2.42,clear sky,0,0
114,Faya,SA,2020-02-23 06:40:42,18.39,42.45,66.2,55,59,13.87,broken clouds,0,0
115,Hobart,AU,2020-02-23 06:44:45,-42.88,147.33,77.0,46,40,18.34,scattered clouds,0,0
116,Nemuro,JP,2020-02-23 06:43:40,43.32,145.57,32.0,97,75,18.34,broken clouds,0,0
117,Husavik,IS,2020-02-23 06:37:49,66.04,-17.34,21.78,67,100,7.87,overcast clouds,0,0
118,Buchanan,LR,2020-02-23 06:41:09,5.88,-10.05,77.0,94,40,4.7,mist,0,0
119,Trencianske Teplice,SK,2020-02-23 06:47:17,48.91,18.17,48.99,81,75,6.93,broken clouds,0,0
120,Torbay,CA,2020-02-23 06:34:18,47.67,-52.73,28.99,86,75,17.22,light shower snow,0,0
121,Sobolevo,RU,2020-02-23 06:47:17,54.43,31.9,37.08,83,100,15.66,light snow,0,0.94
122,Khandyga,RU,2020-02-23 06:37:53,62.67,135.6,4.26,89,97,0.31,overcast clouds,0,0
123,Hermanus,ZA,2020-02-23 06:47:18,-34.42,19.23,69.01,69,0,11.99,clear sky,0,0
124,Leningradskiy,RU,2020-02-23 06:47:18,69.38,178.42,-13.36,95,100,7.31,light snow,0,0.13
125,Yellowknife,CA,2020-02-23 06:42:55,62.46,-114.35,-5.01,70,90,5.82,light snow,0,0
126,Berdigestyakh,RU,2020-02-23 06:47:19,62.1,126.7,-0.06,93,100,3.29,overcast clouds,0,0
127,Ouargaye,BF,2020-02-23 06:47:19,11.5,0.06,76.8,17,0,13.35,clear sky,0,0
128,Saint-Augustin,CA,2020-02-23 06:37:57,51.23,-58.65,22.53,93,95,17.78,overcast clouds,0,0
129,Suhbaatar,MN,2020-02-23 06:47:19,50.23,106.21,20.01,82,71,2.44,broken clouds,0,0
130,Luanda,AO,2020-02-23 06:41:47,-8.84,13.23,78.8,94,75,3.36,broken clouds,0,0
131,Norman Wells,CA,2020-02-23 06:32:53,65.28,-126.83,5.0,84,90,0.83,light snow,0,0
132,Bluff,NZ,2020-02-23 06:47:20,-46.6,168.33,59.0,81,40,15.01,scattered clouds,0,0
133,Sindgi,IN,2020-02-23 06:47:20,16.92,76.23,87.71,24,0,14.27,clear sky,0,0
134,Isangel,VU,2020-02-23 06:40:42,-19.55,169.27,79.56,77,26,16.02,scattered clouds,0,0
135,Tigil,RU,2020-02-23 06:41:44,57.8,158.67,13.42,85,91,9.91,overcast clouds,0,0
136,Tasiilaq,GL,2020-02-23 06:47:21,65.61,-37.64,14.0,61,0,1.12,clear sky,0,0
137,Souillac,MU,2020-02-23 06:32:56,-20.52,57.52,84.0,78,75,9.17,broken clouds,0,0
138,Bambous Virieux,MU,2020-02-23 06:37:28,-20.34,57.76,82.99,78,75,9.17,broken clouds,0,0
139,Portoferraio,IT,2020-02-23 06:47:22,42.81,10.31,46.99,87,75,6.58,broken clouds,0,0
140,Coquimbo,CL,2020-02-23 06:37:45,-29.95,-71.34,60.44,84,51,3.62,broken clouds,0,0
141,Ostrovnoy,RU,2020-02-23 06:40:54,68.05,39.51,30.13,91,100,23.17,light snow,0,0.37
142,Oudtshoorn,ZA,2020-02-23 06:47:22,-33.59,22.2,66.2,63,20,5.82,few clouds,0,0
143,Bandarbeyla,SO,2020-02-23 06:37:58,9.49,50.81,78.28,70,76,16.46,broken clouds,0,0
144,Kalmunai,LK,2020-02-23 06:42:08,7.42,81.82,82.02,78,100,17.9,light rain,0.5,0
145,Los Negros,BO,2020-02-23 06:47:23,-17.73,-63.43,69.8,73,75,11.41,broken clouds,0,0
146,Iranshahr,IR,2020-02-23 06:44:12,27.2,60.68,73.4,43,0,3.58,clear sky,0,0
147,Bozeman,US,2020-02-23 06:47:23,45.68,-111.04,26.6,67,1,5.01,clear sky,0,0
148,General Pico,AR,2020-02-23 06:46:01,-35.66,-63.76,57.36,44,0,7.45,clear sky,0,0
149,Carutapera,BR,2020-02-23 06:39:54,-1.2,-46.02,81.5,81,100,17.27,light rain,1.44,0
150,Verkh-Usugli,RU,2020-02-23 06:47:24,52.7,115.17,24.58,52,5,5.77,clear sky,0,0
151,Temir,KZ,2020-02-23 06:47:24,49.14,57.13,19.08,95,83,9.01,broken clouds,0,0
152,Rivera,UY,2020-02-23 06:47:24,-30.91,-55.55,52.75,86,0,3.53,clear sky,0,0
153,San Andres,CO,2020-02-23 06:41:19,12.58,-81.7,78.8,78,20,6.93,few clouds,0,0
154,Lagoa,PT,2020-02-23 06:47:25,39.05,-27.98,58.6,75,0,12.48,clear sky,0,0
155,Puntarenas,CR,2020-02-23 06:47:25,9.98,-84.84,69.8,49,100,17.22,overcast clouds,0,0
156,Palmer,US,2020-02-23 06:47:25,42.16,-72.33,33.01,79,1,3.13,clear sky,0,0
157,Ola,RU,2020-02-23 06:40:50,59.58,151.28,2.03,92,100,2.98,light snow,0,0.13
158,Tuktoyaktuk,CA,2020-02-23 06:47:25,69.45,-133.04,1.4,84,90,4.7,light snow,0,0
159,Kawai,JP,2020-02-23 06:47:26,34.23,135.85,55.0,46,75,12.75,broken clouds,0,0
160,Kaitangata,NZ,2020-02-23 06:44:55,-46.28,169.85,62.01,62,70,20.0,broken clouds,0,0
161,Nuuk,GL,2020-02-23 06:33:43,64.18,-51.72,17.6,92,100,10.29,light snow,0,0
162,Hamilton,US,2020-02-23 06:33:42,39.18,-84.53,35.6,79,1,4.94,clear sky,0,0
163,Bumba,CD,2020-02-23 06:43:20,2.18,22.47,75.38,52,98,1.61,overcast clouds,0,0
164,Hohhot,CN,2020-02-23 06:46:07,40.81,111.65,44.6,24,0,11.18,clear sky,0,0
165,Saint-Louis,SN,2020-02-23 06:47:27,16.33,-15.0,69.8,46,100,6.93,overcast clouds,0,0
166,Talnakh,RU,2020-02-23 06:37:59,69.49,88.4,10.4,85,75,29.08,shower snow,0,0
167,Shenjiamen,CN,2020-02-23 06:47:27,29.96,122.3,51.8,62,0,10.87,clear sky,0,0
168,La Joya,MX,2020-02-23 06:47:28,18.67,-99.47,66.0,50,0,2.51,clear sky,0,0
169,Maamba,ZM,2020-02-23 06:47:28,-17.37,27.15,75.79,79,97,1.83,overcast clouds,0,0
170,Georgetown,MY,2020-02-23 06:34:54,5.41,100.34,89.6,52,20,12.75,few clouds,0,0
171,Bilibino,RU,2020-02-23 06:43:20,68.05,166.44,-25.38,99,99,1.72,overcast clouds,0,0
172,Longyearbyen,SJ,2020-02-23 06:37:32,78.22,15.64,-4.0,70,20,10.29,few clouds,0,0
173,Beinamar,TD,2020-02-23 06:47:29,8.67,15.38,69.44,16,0,3.27,clear sky,0,0
174,Wageningen,NL,2020-02-23 06:47:29,51.97,5.67,48.99,100,75,8.05,moderate rain,0,0
175,Hithadhoo,MV,2020-02-23 06:34:35,-0.6,73.08,82.44,79,100,13.71,overcast clouds,0,0
176,Sitka,US,2020-02-23 06:40:46,57.05,-135.33,37.4,74,90,13.87,overcast clouds,0,0
177,Vladyslavivka,UA,2020-02-23 06:47:30,45.17,35.37,39.31,76,15,5.59,few clouds,0,0
178,Ponta Do Sol,PT,2020-02-23 06:37:48,32.67,-17.1,70.0,77,20,18.34,few clouds,0,0
179,Linxia,CN,2020-02-23 06:47:30,35.6,103.21,46.22,21,63,4.99,broken clouds,0,0
180,Nenjiang,CN,2020-02-23 06:44:07,49.18,125.22,15.89,89,100,5.28,overcast clouds,0,0
181,Kamenka,RU,2020-02-23 06:47:30,51.32,42.77,32.0,95,79,11.99,light snow,0,0.44
182,Shingu,JP,2020-02-23 06:40:49,33.73,135.98,51.8,43,20,17.22,few clouds,0,0
183,Warmbad,NA,2020-02-23 06:47:31,-28.45,18.73,69.46,46,0,14.2,clear sky,0,0
184,Touros,BR,2020-02-23 06:32:40,-5.2,-35.46,78.8,88,40,2.24,scattered clouds,0,0
185,Nanortalik,GL,2020-02-23 06:41:59,60.14,-45.24,27.16,69,100,9.08,light snow,0,1.06
186,Chuy,UY,2020-02-23 06:47:32,-33.7,-53.46,58.23,90,0,3.38,clear sky,0,0
187,Port Lincoln,AU,2020-02-23 06:36:05,-34.73,135.87,79.48,36,16,7.43,few clouds,0,0
188,Yulara,AU,2020-02-23 06:34:09,-25.24,130.99,98.6,6,0,11.41,clear sky,0,0
189,Bathsheba,BB,2020-02-23 06:43:32,13.22,-59.52,75.2,88,20,4.7,few clouds,0,0
190,Mattru,SL,2020-02-23 06:47:33,7.62,-11.83,76.71,94,10,2.17,clear sky,0,0
191,Vieux-Habitants,GP,2020-02-23 06:47:33,16.06,-61.77,69.8,94,1,3.36,clear sky,0,0
192,Antalaha,MG,2020-02-23 06:43:07,-14.9,50.28,81.25,77,100,12.41,overcast clouds,0,0
193,Lasa,IT,2020-02-23 06:47:33,46.62,10.7,39.0,69,40,8.05,scattered clouds,0,0
194,Byron Bay,AU,2020-02-23 06:47:34,-28.65,153.62,75.2,78,100,11.41,light rain,0.56,0
195,Roseburg,US,2020-02-23 06:47:34,43.22,-123.34,44.6,80,1,3.22,clear sky,0,0
196,Jalu,LY,2020-02-23 06:42:13,29.03,21.55,51.62,67,24,11.43,light rain,0.5,0
197,Stornoway,GB,2020-02-23 06:40:57,58.21,-6.39,37.99,86,31,18.34,light rain,0,0
198,Jiwani,PK,2020-02-23 06:47:34,25.05,61.74,71.78,65,0,2.66,clear sky,0,0
199,Copiapo,CL,2020-02-23 06:47:34,-27.37,-70.33,54.66,92,0,2.15,clear sky,0,0
200,Karaton,ID,2020-02-23 06:47:35,-6.34,106.1,87.8,66,40,10.29,scattered clouds,0,0
201,Radviliskis,LT,2020-02-23 06:47:35,55.82,23.53,39.2,77,90,19.46,overcast clouds,0,0
202,Zhigansk,RU,2020-02-23 06:47:03,66.77,123.37,-6.84,97,97,7.38,overcast clouds,0,0
203,Chatrapur,IN,2020-02-23 06:47:35,19.35,84.98,86.18,27,0,5.7,clear sky,0,0
204,Rio Bueno,CL,2020-02-23 06:47:36,-40.32,-72.97,50.14,90,0,2.01,clear sky,0,0
205,Menomonie,US,2020-02-23 06:47:18,44.88,-91.92,33.8,100,75,4.83,broken clouds,0,0
206,Myitkyina,MM,2020-02-23 06:47:36,25.38,97.4,92.62,19,88,1.12,overcast clouds,0,0
207,Marks,RU,2020-02-23 06:47:36,51.71,46.75,30.0,98,100,3.0,overcast clouds,0,0
208,Faanui,PF,2020-02-23 06:44:57,-16.48,-151.75,83.34,70,37,9.15,scattered clouds,0,0
209,Margate,GB,2020-02-23 06:41:57,51.38,1.39,55.0,87,75,31.09,light rain,0,0
210,Ishigaki,JP,2020-02-23 06:47:37,24.34,124.16,73.4,69,75,19.46,broken clouds,0,0
211,Tarakan,ID,2020-02-23 06:47:37,3.3,117.63,85.33,64,16,12.44,few clouds,0,0
212,Opuwo,NA,2020-02-23 06:37:39,-18.06,13.84,72.75,33,84,1.07,broken clouds,0,0
213,Aranda De Duero,ES,2020-02-23 06:47:37,41.67,-3.69,39.76,61,93,1.1,overcast clouds,0,0
214,Port Hardy,CA,2020-02-23 06:39:48,50.7,-127.42,41.0,75,90,12.75,overcast clouds,0,0
215,Baft,IR,2020-02-23 06:47:38,29.23,56.61,50.2,36,0,6.04,clear sky,0,0
216,Dongkan,CN,2020-02-23 06:47:38,34.0,119.83,57.83,42,0,12.5,clear sky,0,0
217,Laguna,US,2020-02-23 06:41:56,38.42,-121.42,53.01,76,1,6.93,clear sky,0,0
218,Arraial Do Cabo,BR,2020-02-23 06:47:38,-22.97,-42.03,74.25,77,100,15.32,light rain,0.5,0
219,Wattegama,LK,2020-02-23 06:47:39,6.8,81.48,86.0,79,40,19.46,scattered clouds,0,0
220,Champerico,GT,2020-02-23 06:40:19,14.3,-91.92,74.97,82,0,2.04,clear sky,0,0
221,Codajas,BR,2020-02-23 06:47:39,-3.84,-62.06,73.13,93,100,2.46,overcast clouds,0,0
222,Groa,NO,2020-02-23 06:47:39,62.65,8.72,35.6,80,100,36.91,snow,0,2.13
223,Union De Reyes,CU,2020-02-23 06:47:39,22.8,-81.54,68.0,77,20,8.05,few clouds,0,0
224,Arlit,NE,2020-02-23 06:42:47,18.74,7.39,68.61,17,65,10.83,broken clouds,0,0
225,Hilo,US,2020-02-23 06:47:40,19.73,-155.09,69.8,77,20,1.83,few clouds,0,0
226,Surt,LY,2020-02-23 06:47:40,31.21,16.59,52.66,66,8,11.23,clear sky,0,0
227,Hurghada,EG,2020-02-23 06:47:40,27.26,33.81,63.07,69,64,17.4,broken clouds,0,0
228,Solnechnyy,RU,2020-02-23 06:35:35,50.72,136.63,14.52,91,24,3.85,few clouds,0,0
229,Shevchenkove,UA,2020-02-23 06:47:41,49.7,37.17,33.8,86,40,11.18,scattered clouds,0,0
230,Nizhniy Odes,RU,2020-02-23 06:47:41,63.64,54.86,29.03,85,100,16.91,light snow,0,0.12
231,Kendari,ID,2020-02-23 06:47:41,-3.94,122.5,85.95,72,48,5.64,moderate rain,3.56,0
232,Jiuquan,CN,2020-02-23 06:42:01,39.74,98.52,40.86,18,0,4.72,clear sky,0,0
233,Rockhampton,AU,2020-02-23 06:47:42,-23.38,150.5,77.0,88,90,9.17,light rain,0,0
234,Lebu,CL,2020-02-23 06:47:42,-37.62,-73.65,49.73,95,3,1.99,clear sky,0,0
235,Kailua,US,2020-02-23 06:40:22,21.4,-157.74,75.2,64,20,10.29,few clouds,0,0
236,Estelle,US,2020-02-23 06:47:43,29.85,-90.11,52.0,81,1,3.36,clear sky,0,0
237,Roald,NO,2020-02-23 06:41:08,62.58,6.13,39.2,69,75,17.22,broken clouds,0,0
238,Vardo,NO,2020-02-23 06:47:43,70.37,31.11,31.5,83,83,12.48,broken clouds,0,0
239,Manakara,MG,2020-02-23 06:44:02,-22.13,48.02,79.61,75,93,4.45,overcast clouds,0,0
240,Flinders,AU,2020-02-23 06:47:43,-34.58,150.86,77.0,64,100,17.22,overcast clouds,0,0
241,Chipinge,ZW,2020-02-23 06:47:44,-20.19,32.62,77.09,76,81,1.34,broken clouds,0,0
242,Karpogory,RU,2020-02-23 06:43:55,64.0,44.45,32.79,88,100,19.62,light snow,0,0.44
243,Pangnirtung,CA,2020-02-23 06:39:20,66.15,-65.71,-34.62,92,37,1.81,scattered clouds,0,0
244,Rio Gallegos,AR,2020-02-23 06:44:51,-51.62,-69.22,51.8,63,17,21.92,few clouds,0,0
245,Zeya,RU,2020-02-23 06:47:44,53.75,127.27,8.73,87,100,3.0,overcast clouds,0,0
246,Oistins,BB,2020-02-23 06:47:45,13.07,-59.53,75.2,88,20,4.7,few clouds,0,0
247,Cap-Aux-Meules,CA,2020-02-23 06:45:18,47.38,-61.86,22.46,92,56,15.1,broken clouds,0,0
248,Alta Floresta,BR,2020-02-23 06:47:45,-9.88,-56.09,71.01,98,100,2.01,light rain,2.81,0
249,Preobrazheniye,RU,2020-02-23 06:45:21,42.9,133.91,28.08,59,0,7.27,clear sky,0,0
250,Pauini,BR,2020-02-23 06:47:46,-7.71,-66.98,73.06,99,100,3.36,overcast clouds,0,0
