City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Port-Gentil,GA,2020-02-23 05:01:00,-0.72,8.78,82.45,78,100,3.91
168,Taoudenni,ML,2020-02-23 05:05:43,22.68,-3.98,70.12,14,65,12.55
169,Zhaotong,CN,2020-02-23 05:05:44,27.32,103.72,60.55,46,43,7.49
170,Dunedin,NZ,2020-02-23 05:01:29,-45.87,170.5,57.81,78,93,3.98
171,Boa Vista,BR,2020-02-23 05:05:44,2.82,-60.67,84.2,58,84,8.05
172,Buraydah,SA,2020-02-23 05:05:45,26.33,43.98,55.4,50,6,10.29
173,Sanmenxia,CN,2020-02-23 05:05:45,34.77,111.18,62.02,36,0,2.64
174,Rawson,AR,2020-02-23 05:05:45,-43.3,-65.1,71.58,41,0,24.2
175,Santa Cruz,BO,2020-02-23 05:04:42,-17.8,-63.17,71.6,68,40,12.75
176,Nago,JP,2020-02-23 05:05:45,26.59,127.98,69.8,40,20,14.99
177,Champerico,GT,2020-02-23 05:00:09,14.3,-91.92,74.97,82,0,2.04
178,Kavieng,PG,2020-02-23 05:04:54,-2.57,150.8,84.02,75,15,12.44
179,Brenes,ES,2020-02-23 05:05:46,37.55,-5.87,53.01,81,28,4.7
180,Faanui,PF,2020-02-23 05:05:46,-16.48,-151.75,83.34,70,37,9.15
181,Tuy Hoa,VN,2020-02-23 05:05:47,13.08,109.3,75.34,74,43,21.27
182,Duma,CN,2020-02-23 05:05:47,34.77,108.14,55.4,28,18,4.47
183,Paamiut,GL,2020-02-23 05:05:47,61.99,-49.67,21.49,85,100,10.8
184,Tevaitoa,PF,2020-02-23 05:05:47,-16.78,-151.5,83.35,71,55,8.32
185,Faya,SA,2020-02-23 05:05:47,18.39,42.45,59.0,58,59,6.93
186,Nanortalik,GL,2020-02-23 05:04:35,60.14,-45.24,27.16,69,100,9.08
187,Anchorage,US,2020-02-23 05:02:47,61.22,-149.9,19.99,79,90,4.7
188,Zyryanka,RU,2020-02-23 05:05:48,65.75,150.85,-12.84,96,97,3.89
189,Purranque,CL,2020-02-23 05:05:48,-40.92,-73.17,55.4,93,90,6.93
190,Biak,ID,2020-02-23 05:05:48,-0.91,122.88,86.4,69,100,7.87
191,Te Anau,NZ,2020-02-23 05:05:33,-45.42,167.72,59.31,67,40,7.76
192,Vrangel,RU,2020-02-23 05:05:49,42.73,133.08,31.82,60,0,24.23
193,Comodoro Rivadavia,AR,2020-02-23 05:02:13,-45.87,-67.5,75.2,33,19,12.75
194,Lompoc,US,2020-02-23 05:04:11,34.64,-120.46,55.4,81,1,14.47
